All,Sve
"No layout updates","Nema raspored ažuriranja"
"Products only","Samo proizvodi"
"Static block only","Samo statički blok"
"Static block and products","Statični blok i proizvodi"
"Please select a static block.","Molim vas izaberite statični blok."
"Could not save product ""%1"" with position %2 to category %3","Nije moguće sačuvati proizvod „%1” sa pozicije %2 u kategoriju %3"
"Category does not contain specified product","Kategorija ne sadrži navedeni proizvod"
"Could not save product ""%product"" with position %position to category %category","Nije moguće sačuvati proizvod „%p” sa pozicije %p u kategoriju %c"
"Operation do not allow to move a parent category to any of children category","Operacija vam ne dozvoljava da premestite nadređenu kategoriju u bilo koju od kategorija dece"
"Could not move category","Nije moguće premestiti kategoriju"
"Could not save category: %1","Nije moguće sačuvati kategoriju: %1"
"Cannot delete category with id %1","Nije moguće izbrisati opciju sa id %1"
"-- Please Select a Category --","--Izaberite kategoriju--"
"Grid Only","Samo koordinatnu mrežu"
"List Only","Samo lista"
"Grid (default) / List","Mreža (podrazumevana) / lista"
"List (default) / Grid","Lista (podrazumevana) / Mreža"
"Automatic (equalize price ranges)","Automatsko (izjednačavanje ranga cena)"
"Automatic (equalize product counts)","Automatsko (izjednačavanje broja proizvoda)"
Manual,Ručno
"-- Please select --","-- Molimo izaberite --"
"Product Thumbnail Itself","Male sličice samih proizvoda"
"Parent Product Thumbnail","Male sličice nadređenih proizvoda"
Category,Kategorija
"%1 - %2","%1 x %2"
"%1 was not found in algorithms","%1 se ne može naći u algoritmima"
"%1 and above","%1 i iznad"
"Please enter a number 0 or greater in this field.","U ovo polje unesite broj 0 ili veći."
"SKU length should be %1 characters maximum.","Dužina šifre bi trebalo da bude najviše %1 karaktera."
"Please enter a valid number in this field.","Molimo unesite važeći broj u ovo polje."
"The image does not exist.","Ova slika ne postoji."
"The option instance type in options group is incorrect.","Instanca tipa proizvoda u grupi proizvoda je neispravna."
"The product instance type in options group is incorrect.","Instanca tipa proizvoda u grupi proizvoda je neispravna."
"The configuration item option instance in options group is incorrect.","Konfiguracija instance artikla u grupi opcija nije korektna."
"The configuration item instance in options group is incorrect.","Konfiguracija instance artikla u grupi opcija nije korektna."
"The BuyRequest instance in options group is incorrect.","Instanca KupiZahtev u grupi opcija nije korektna."
"The file options format is not valid.","Format datoteke sa opcijama nije ispravan."
"The file '%1' for '%2' has an invalid extension.","Datoteka '%1' za '%2' ima neispravnu ekstenziju."
"The maximum allowed image size for '%1' is %2x%3 px.","Maksimalna dozvoljena veličina slike za '%1' je %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Datoteka '%1' koju ste poslali je veća od %2MB dozvoljeno za ovaj server."
"The file '%1' is empty. Please choose another one","Datoteka '%1' je prazna. Molim odabrati drugu"
"The file '%1' is invalid. Please choose another one","Datoteka „%1” je nevažeća. Odaberite drugu"
"Validation failed. Required options were not filled or the file was not uploaded.","Provera validacije nije uspela. Potrebne opcije neće biti popunjene ili datoteka nije poslata."
"The file you uploaded is larger than %1 Megabytes allowed by server","Poslata datoteka je veća od %1MB koliko dopušta ovaj server"
"Option required.","Opcija je potrebna."
"The file is empty. Please choose another one","Datoteka '' je prazna. Molim odabrati drugu"
"Some of the selected item options are not currently available.","Neke izabrane opcije stavke nisu trenutno dostupne."
"The text is too long.","Tekst je predug."
"Invalid attribute %fieldName = %fieldValue.","Nevažeći atribut %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Zahtevana radnja nije pronađena. Red ID: Šifra = %SKU, prodavnica ID: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Nevažeći atribut troška = %cost. Red ID: Šifra = %SKU, prodavnica ID: %storeId."
"Could not save Prices.","Nije bilo moguće sačuvati cene."
"Could not delete Prices","Nije bilo moguće izbrisati cene"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Traženi proizvod ne postoji. Red ID: Šifra = %SKU, prodavnica ID: %storeId, cena od: %priceFrom, cena do: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Tražena prodavnica ne postoji. Red ID: Šifra = %SKU, prodavnica ID: %storeId, cena od: %priceFrom, cena do: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Nevažeći atribut %label = %priceTo. Red ID: Šifra = %SKU, prodavnica ID: %storeId, cena od: %priceFrom, cena do: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Nevažeći atribut cena = %price. Red ID: Šifra = %SKU, prodavnica ID: %storeId, cena od: %priceFrom, cena do: %priceTo."
"Could not save Tier Prices","Nije bilo moguće sačuvati sloj cena"
"Could not replace Tier Prices","Nije bilo moguće zameniti sloj cena"
"Could not delete Tier Prices","Nije bilo moguće obrisati sloj cena"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nevažeći atribut Šifra = %SKU. Red ID: Šifra = %SKU, Web lokacija ID: % websiteId, grupa kupaca: %customerGroup, količina: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nevažeći atribut cena = %price. Red ID: Šifra = %SKU, Web lokacija ID: %websiteId, grupa kupaca: %customerGroup, količina: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nevažeći atribut tip cena = %priceType. Red ID: Šifra = %SKU, Web lokacija ID: %websiteId, grupa kupaca: %customerGroup, količina: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nevažeći atribut količina = %qty. Red ID: Šifra = %SKU, Web lokacija ID: % websiteId, grupa kupaca: %customerGroup, količina: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nevažeći atribut Web lokacija ID: %websiteId. Red ID: Šifra = %SKU, Web lokacija ID: %websiteId, grupa kupaca: %customerGroup, količina: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Pronašli smo duplikat web lokacije, sloja cena, korisničke grupe i količine: Korisnička grupa = %customerGroup, Web lokacija ID = %websiteId, Količina = %qty. Row ID: Šifra = %SKU, Weblokacija ID: %websiteId, Groupa kupaca: %customerGroup, Količina: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ne postoji entitet sa grupom korisnika = %customerGroup. Row ID: Šifra= %SKU, Web lokacija ID: %websiteId, Grupa korisnika: %customerGroup, Količina: %qty."
"Invalid data provided for tier_price","Pogrešno postavljen datum za sloj_cena"
"Could not save group price","Nije bilo moguće sačuvati grupu cena"
"Please provide valid data","Molim obezbedite ispravan datum"
"Values of following attributes are invalid: %1","Vrednosti sledećih atributa su neispravni: %1"
"The file upload failed.","Došlo je do greške pri slanju datoteke."
"The product has required options.","Proizvod je zahtevao opcije."
"Not Visible Individually","Nije vidljivo individualno"
"Catalog, Search","Katalog, pretraga"
"Something went wrong while removing products from the websites.","Došlo je do greške prilikom uklanjanja proizvoda sa web lokacija."
"Something went wrong while adding products to websites.","Došlo je do greške pri dodavanju proizvoda na web lokacije."
"Group with id ""%1"" does not exist.","Grupa sa id %1 ne postoji."
"Attribute group that contains system attributes can not be deleted","Atribut grupe koji sadrži atribute sistema ne može biti obrisan"
"Collection provider is not registered","Pružalac kolekcije nije registrovan"
"Unknown link type: %1","Nepoznata tip veze: %1"
"Provided link type ""%1"" does not exist","Dati link tipa ""%1"" ne postoji"
"Invalid data provided for linked products","Pogrešini podataci za povezane proizvode"
"Product with SKU '%1' is not linked to product with SKU '%2'","Proizvod sa šifrom „%1” nije povezan sa proizvodom sa šifrom „%2”"
"Product with SKU ""%1"" does not exist","Proizvod sa šifrom %1 ne postoji"
"Invalid product data: %1","Nevažeći podatak proizvoda: %1"
"Database connection error","Greška u povezivanju sa bazom podataka"
"Database deadlock found when trying to get lock","Greška pri zaključavanju baze prilikom pokušaja zaključavanja"
"Database lock wait timeout exceeded","Prekoračeno vreme u čekanju na zaključavanju baze"
"Unable to remove product %1","Nije moguće ukloniti proizvod %1"
"Requested product does not support images.","Traženi proizvod ne podržava slike."
"There are not websites for assign to product","Ne postoje Web lokacije za dodeljivanje proizvoda"
"Could not assign product ""%1"" to websites ""%2""","Nije mogao da dodeliti proizvod „%1” web lokaciji „%2”"
"Could not save product ""%1"" with websites %2","Nije moguće sačuvati proizvod „%1” sa web lokacije %2"
"We cannot determine the field name.","Ne možemo da utvrdimo naziv polja."
"Do not change the scope. %1","Ne menjajte opseg. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","%1 procesor ne implementira BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","Tip proizvoda nije definisan za indeksiranje."
"Product with SKU %1 is not linked to product with SKU %2","Proizvod sa šifrom „%1” nije povezan sa proizvodom sa šifrom „%2”"
Dropdown,"Padajuća lista"
"Some exception","Neki izuzetak"
"Could not get extension attributes","Nije bilo moguće dobiti atribute oznaka tipa datoteke"
message,poruka
"Lock wait timeout","Isteklo vremensko ograničenja čekanja"
"Advanced Pricing","Više opcija za određivanje cena"
"Customer Group Price","Grupe cena za kupca"
"Customer Group","Grupa kupaca"
"Special Price From","Posebne cene od"
"Product Alerts","Alarm proizvoda"
"Select Attribute","Izaberite atribut"
"Create New Attribute","Napraviti novi atribut"
"Customizable Options","Prilagodljive opcije"
"Custom options let customers choose the product variations they want.","Prilagođavanje opcija omogućava korisniku da izabere različite vrednosti koje on želi."
"Select Product","Izabrati proizvod"
"Add Value","Dodati vrednost"
"Option Type","Tip opcije"
"Max Characters","Maximalno znakova"
"Compatible File Extensions","Kompatibilni tipovi datoteka"
"Maximum Image Size","Maksimalna veličina slike"
"Please leave blank if it is not an image.","Molimo ostaviti prazno ako to nije kao slika."
"This item has weight","Ovaj artikal ima težinu"
"This item has no weight","Ovaj artikal nema težinu"
"Set Product as New From","Postavi proizvod kao novo iz"
"Related Products, Up-Sells, and Cross-Sells","Srodni proizvodi, Up-prodaja i Cross-prodaja"
"Related products are shown to customers in addition to the item the customer is looking at.","Srodni proizvodi su prikazani kupcima pored stavke koju kupac gleda."
"Add Related Products","Dodaj srodne proizvode"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Up-prodaja artikal je ponuđen artikal kupcu kao zamena bolja cena ili bolji kvalitet proizvoda od onog koji kupac gleda."
"Add Up-Sell Products","Dodaj Up-prodaju proizvoda"
"Up-Sell Products","Up-prodaja proizvoda"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Ova ""impulsivna-prodaja"" proizvoda se pojavljuje pored korpe kupca kao ukrštena prodaja sa artiklima koji su već u korpi kupca."
"Add Cross-Sell Products","Dodak ukrštenu-prodaju proizvoda"
"Cross-Sell Products","Ukrštena-prodaja proizvoda"
"Schedule Update From","Ažuriranje rasporeda iz"
"Product in Websites","Proizvod u Web lokaciji"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Ako vaša Magento instalacija ima više Web lokacija, možete urediti opseg da koristite proizvod na određenim web lokacijama."
name,naziv
"Copy Data from","Kopiranje podataka iz"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Ako ne postoje prilagođene nadređene kategorije, molimo koristite podrazumevane nadređene kategorije. Možete je u bilo kom trenutku ponovo dodeliti u <a href=""%1"" target=""_blank"">Proizvodi &gt; Kategorije</a>."
"Collapse All","Skupi sve"
"Expand All","Razvij sve"
"Manage Titles (Size, Color, etc.)","Upravljanje naslovima (Veličina, boja, itd.)"
"Manage Options (Values of Your Attribute)","Upravljanje opcijama (vrednosti vaših atributa)"
"Sort Option","Opciju sortiranja"
Groups,Grupe
"Double click on a group to rename it.","Dvaput kliknite na grupu da biste je preimenovali."
"Unassigned Attributes","Nedodeljeni atribute"
"A name is required.","Ime je obavezno."
"Please enter a new group name.","Unesite ime nove grupe."
"An attribute group named ""/name/"" already exists.","Jedan atribut grupa pod nazivom „/ ime /” već postoji."
"Custom Options","Prilagodljive opcije"
"This is a required option.","Ovo polje je neophodno."
"Hide from Product Page","Sakriti od proizvodne stranice"
"Allow Multiple Boxes for Shipping","Dopustiti pakovanje u više kutija radi isporuke"
"start typing to search attribute","počnite da kucate za pretragu atributa"
"Basic Settings","Osnovna podešavanja"
"Advanced Settings","Napredna podešavanja"
"Buy %1 for: ","Kupiti %1 za: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Kupiti %1 za %2 svaki i <strong class=""benefit"">sačuvati<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Kupiti %1 za %2 svaki"
"Shop By","Kupiti po"
"Shopping Options","Opcije kupovine"
"Compare Products","Poređenje proizvoda"
"Print This Page","Štampaj ovu stranu"
"Remove Product","Ukloni proizvod"
"Add to Wish List","Dodaj u listu želja"
"You have no items to compare.","Nemate artikle za poređenje."
"Remove This Item","Ukloni ovu stavku"
Compare,Poredi
"Clear All","Očisti sve"
Prev,Prethodno
"We can't find products matching the selection.","Ne možemo pronaći proizvode koji zadovoljavaju traženo."
"Learn More","Saznajte više"
"Add to Compare","Dodaj za upoređivanje"
"We found other products you might like!","Pronašli smo ove proizvode koje možda više volite!"
"More Choices:","Više izbora:"
"Check items to add to the cart or","Proveriti artikle za dodavanje u korpu ili"
"select all","izaberi sve"
"Items %1-%2 of %3","Stavke %1-%2 od %3"
"%1 Item","%1 stavka"
"%1 Items","%1 stavke"
Show,Prikaži
"Sort By","Poređaj po"
"Set Ascending Direction","Postavi rastući smer"
"Set Descending Direction","Postavi opadajući smer"
"View as","Pregledi kao"
"More Information","Više informacija"
"Choose existing category.","Izabrati odgovarajuću kategoriju."
"unselect all","poništi izabrane"
"Use Canonical Link Meta Tag For Categories","Koristi Canonical Link Meta Tag za kategorije"
"Use Canonical Link Meta Tag For Products","Koristi Canonical Link Meta Tag za proizvode"
"Catalog Price Scope","Opseg kataloga cena"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Ovo definiše osnovu opsega valuta (""Podešavanje valute"" > ""Opcije valuta"" > ""Osnovne valute"")."
"Category Top Navigation","Vrh navigacija kategorija"
"Maximal Depth","Maksimalna dubina"
"Date & Time Custom Options","Opcije podešavanja datuma i vremena"
"Use JavaScript Calendar","Koristi JavaScript kalendar"
"Add to Wishlist","Dodaj u listu želja"
"Change status","Promena statusa"
"Save Category","Snimi kategoriju"
"Delete Category","Obriši kategoriju"
"New Subcategory","Nova podkategorija"
Ok,"U redu"
Allow,Dozvoli
"Please specify at least one search term.","Molim vas da navedete najmanje jedan pojam za traženje."
"Payment Method","Način plaćanja"
"Update Shopping Cart","Ažuriranje korpe sa artiklima"
"Proceed to Checkout","Nastavi ka plaćanju"
"Please specify a shipping method.","Molimo odaberide metod dostave."
"Delete Folder","Izbrišite fasciklu"
"Delete File","Izbriši datoteku"
"Email Address:","E-mail adresa:"
"First Name:",Ime:
"Last Name:",Prezime:
"This account is locked.","Vaš nalog je zaključan."
"%name,","%naziv,"
"When you sign in to your account, you will be able to:","Kada se prijavite na svoj nalog, moći ćete da:"
"This is a required field.","Ovo polje je neophodno."
"Page not found.","Stranica nije pronađena."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Hvala što ste nas kontaktirali ostavljajući komentar ili pitanje, Uskoro ćemo Vam odgovoriti."
"An error occurred while processing your form. Please try again later.","Došlo je do greške prilikom procesiranja forme. Molimo pokušajte ponovo kasnije."
"Name is missing","Nedostaje ime"
"Comment is missing","Nedostaje komentar"
"Invalid email address","Nepravilna e-mail adresa"
"Write Us","Pišite Nam"
"Jot us a note and we’ll get back to you as quickly as possible.","Ostavite nam poruku i javićemo vam se što je pre moguće."
"Phone Number","Broj telefona"
"What’s on your mind?","Šta Vam je na umu?"
"Contact Form","Kontakt forma"
"Contacts Section","Deo sa kontaktima"
Contacts,Kontakti
"Contact Us","Kontaktirajte nas"
"Enable Contact Us","Omogućeno je da nas kontaktirate"
"Email Options","Email Opcije"
"Send Emails To","Pošalji Email na"
"Email Sender","Pošiljalac Mejla"
"Email Template","Šablon Mejla"
"We can't process your request right now. Sorry, that's all we know.","Sada ne možemo procesirati Vaš zahtev. Izvinjavamo se, to je sve što znamo za sada."
"Name: %name","Ime: %name"
"Phone Number: %telephone","Broj Telefona: %telephone"
"Comment: %comment","Komentar: %comment"
"Enter the Name and try again.","Unesite Ime i pokušajte ponovo."
"Enter the comment and try again.","Upišite komentar i pokušajte ponovo."
"The email address is invalid. Verify the email address and try again.","Mejl adresa je neispravna. Proverite mejl adresu i pokušajte ponovo."
"We use cookies to make your experience better.","Mi koristimo kolačiće kako bi vaše iskustvo bilo bolje."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Da bi smo uskladili novu direktivu o e-privatnosti, moramo zatražiti vašu saglasnost da podesite kolačiće."
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Naučiti više</a>."
"Allow Cookies","Dopusti kolačiće"
"Address Book",Adresar
"Please make sure your passwords match.","Proverite da li se vaše lozinke podudaraju."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Ako postoji nalog povezan sa %1 vi ćete primiti e-mail sa Linkom da poništite lozinku."
"Manage Addresses","Upravljajte adresama"
"Welcome to %store_name","Dobrodošli u %store_name"
"Welcome to %store_name.","Dobrodošli u %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Da biste se prijavili na naš sajt, koristite ove akreditive tokom provere ili na stranici <a href=""%customer_url"">Moj račun</a>:"
Email:,E-mail:
Password:,Lozinka:
"Password you set when creating account","Lozinka koju ste postavili prilikom kreiranja naloga"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Zaboravili ste lozinku svog naloga? Kliknite <a href=""%reset_url""> ovde</a> da biste poništili to."
"Proceed through checkout faster","Nastavite brže kroz proveru"
"Check the status of orders","Proverite status porudžbine"
"View past orders","Vidi sve porudžbine"
"Are you sure you want to delete this address?","Jeste li sigurni da želite da obrišete ovu adresu?"
"Billing Lastname","Prezime za Naplatu"
"Account Dashboard","Kontrolna tabla"
"Please enter the last name.","Molimo upišite prezime."
"Please enter a last name.","Molimo upišite prezime."
"Please correct this email address: ""%1"".","Molim vas da ispravite ovu e-adresu: „%1”."
"Order Status","Status porudžbine"
"Grand Total","Ukupna vrednost"
"Unable to retrieve tracking","Nije moguće preuzeti za praćenje"
"View Order","Pregledaj porudžbinu"
"Private Sales","Privatna prodaja"
"Use gift registry shipping address","Koristite adresu za dostavu kao kod poklona"
"Add Products to Group","Dodavaj proizvode u grupu"
"Shipping Method","Način Dostave"
Activate,Aktiviraj
Reauthorize,"Ponovo autorizuj"
"No permissions requested","Niste tražili dozvole"
"Available APIs","Dostupni API-ja"
"Resource Access","Pristup resursu"
Resources,Resursi
"Sorry, something went wrong. Please try again later.","Izvinite, došlo je do greške. Pokušajte kasnije."
"Integrations API Configuration","Integracija API konfiguracije"
"Integrations API configuration file.","Integracija API datoteku za konfiguraciju."
"Now Shopping by","Sada kupiti preko"
Wishlist,"Lista želja"
"1 item in wish list","1 stavka u listi želja"
"%1 items in wish list","%1 stavki sa liste želja"
"Product(s) %1 have required options. Each product can only be added individually.","Proizvod(i) %1 zahteva opcije. Svaki proizvod se može dodati samo pojedinačno."
"Create New Wish List","Kreiranje nove liste želja"
"Copy to Wish List","Kopiraj u listu želja"
"Move Selected to Wish List","Premestite izabrane artikle u listu želja"
"Copy Selected to Wish List","Kopiraj izabrane artikle u listu želja"
"Customer First Name","Ime kupca"
"Customer Last Name","Prezime kupca"
"Please enter a valid credit card verification number.","Molimo unesite važeći broj za verifikaciju kreditne kartice."
"Please enter a valid credit card number.","Molimo unesite važeći broj kreditne kartice."
"Sorry, something went wrong.","Izvinite, došlo je do greške."
"Be the first to review this product","Ocenite ovaj proizvod"
"Review by","Pregled od strane"
"Customer Service","Korisnički servis"
"Order History","Istorija porudžbine"
"Edit Order","Izmeni porudžbinu"
Complete,Završeno
"Print Order","Štampanje narudžbine"
"Credit memo for your %store_name order","Profaktura za vašu %store_name porudžbinu"
"Thank you for your order from %store_name.","Hvala vam za porudžbinu %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Možete da proverite status Vaše porudžbine prijavljivanjem <a href=""%account_url"">u Vaš nalog</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Vaša profaktura #%creditmemo_id za Porudžbinu #%order_id"
"Billing Info","Informacije o plaćanju"
"Shipping Info","Informacije o isporuci"
"Update to your %store_name credit memo","Ažurirajate Vašu %store_name profakturu"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Vaša porudžbina #%increment_id je ažurirana sa statusom <strong>%order_status</strong>."
"Invoice for your %store_name order","Faktura za Vašu %store_name porudžbinu"
"Your Invoice #%invoice_id for Order #%order_id","Vaša faktura #%invoice_id za Porudžbinu #%order_id"
"Update to your %store_name invoice","Ažurirajte Vašu %store_name fakturu"
"Your %store_name order confirmation","Potvrda %store_name Vaše porudžbine"
"Once your package ships we will send you a tracking number.","Kada Vaša porudžbina bude poslata, poslaćemo Vam broj za praćenje porudžbine."
"Your Order <span class=""no-link"">#%increment_id</span>","Vaša porudžbina <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Postavljeno na <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Ažurirajte Vašu %store_name porudžbinu"
"Your %store_name order has shipped","Vaša %store_name porudžbina je poslata"
"Your shipping confirmation is below. Thank you again for your business.","Vaša potvrda o isporuci je ispod. Hvala Vam još jednom za Vaše poslovanje."
"Your Shipment #%shipment_id for Order #%order_id","Isporuka za #%shipment_id za porudžbinu #%order_id"
"Update to your %store_name shipment","Ažurirano na Vašoj %store_name pošiljci"
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","Ne možemo upisati datoteku ""%1"" u ""%2"" sa ""%3"" upravljačkim programom."
"Admin is a required field in each row","Admin je zatražio polje u svakom redu"
Menu,Meni
Account,Nalog
"Please put your store into maintenance mode and redeploy static files after changing strategy","Molim staviti vašu prodavnicu u režim održavanja i ponovo rasporediti statične datoteke nakon promene strategije"
"Please select an option.","Izaberite neku opciju."
"Please enter a number greater than 0 in this field.","U ovo polje unesite broj veći od 0."
"Please enter a valid date.","Unesite ispravan datum."
"Please enter a valid zip code.","Unesite ispravan poštanski broj."
"Please select State/Province.","Izaberite državu/pokrajinu."
"If enabled, can be used by functional tests for extended reporting","Ako je omogućeno, može da se koristi od strane funkcionalnih testova za prošireno izveštavanje"
"Use this key to retrieve collected js errors","Koristite ovaj ključ za preuzimanje prikupljenih js grešaka"
"Please enter a value less than or equal to %s.","Molim uneti vrednost manju ili jednaku %s."
"Please enter a value greater than or equal to %s.","Molim uneti vrednost veću ili jednaku %s."
"We can't convert a rate from ""%1-%2"".","Ne može da se konvertuje po stopi od „%1-%2”."
"It's time to <a href=""%1"">change your password</a>.","Vreme je da <a href=""%1""> promenite vašu lozinku</a>."
"Please wait...","Molimo sačekajte..."
"10 by default. Max - 10000","10 je zadata vrednost. Maksimum - 10000"
"255 by default","255 je zadata vrednost"
"Quick Checkout","Brza provera"
"Store alternative addresses","Skladištenje alternativnih adresa"
"For shipping to multiple family members and friends","Za isporuku više članova porodice i prijateljima"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>O nama</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Servis za kupce</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Radno vreme:<br /><span class=""no-link"">%store_hours</span>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Ako imate pitanja o porudžbini, možete nam pisati na <a href=""mailto:%store_email"">%store_email</a>."
"About Us","O nama"
Warning,Upozorenje
"Recent items","Skorašnji artikli"
"Show all...","Prikaži sve..."
Translate,Prevod
"Please enter a date between %min and %max.","Molim uneti datum između %min i %max."
"Maximum length of this field must be equal or less than %1 symbols.","Maksimalna dužina znakova u ovom polju mora biti manja ili jednaka %1."
